name,id,sis_id,section,section_id,section_sis_id,submitted,attempt,"514480:  How frequently do you use LLMs (e.g., ChatGPT) for your coursework in the computer networks module?",1,514486: For which specific tasks in this module do you typically rely on LLMs? (Select all that apply),1,"514494: If there are other tasks in this module where you have relied on LLMs that were not listed above, please specify them here.",1,"514498: How often do you use ChatGPT or other LLMs specifically for completing assignments in this module?
Please answer based on your experience with each of the four assignments in this module.",1,"514499: On average, how frequently do you use ChatGPT or other LLMs during lab sessions?
Please consider your usage across all nine lab sessions.",1,"514504: How effective do you find LLMs (e.g., ChatGPT) in enhancing your understanding of computer network concepts?",1,"514505: Do you find that your reliance on LLMs changes based on the complexity of the topic (e.g., basic networking versus advanced protocols)?",1,514506: Others (Please specify)-,1,"514507: When using ChatGPT or other LLMs, are the answers provided generally sufficient, or do you often need to look up additional resources?",1,"514511: For which assignments (and specific parts, if applicable) did you find yourself using ChatGPT/LLMs the most?",1,"514512: How does using LLMs impact your problem-solving skills and conceptual understanding in assignments and labs?
 Especially, when you see an assignment for the first time, do you feel that you can solve it independently, or do you typically rely on LLMs for an initial approach before attempting to solve it yourself?",1,514513: Others (please specify) -,1,514514: How often do you use LLMs to generate initial ideas or approaches for assignments and labs?,1,"514515: When using LLMs for initial ideas, how much do you rely on the suggestions provided?",1,514516: Others (please specify) -,1,514517: Do you feel your conceptual understanding of the topics has improved by using LLMs?,1,"514518: Do you feel that using LLMs for assignments or labs has hindered your ability to independently solve networking problems in exams or answer theoretical questions, and if it has increased your dependency on the use of LLMs to get lab/assignment work done?",1,"514519: What are the common challenges you have faced when using LLMs for understanding computer network-related concepts, especially in the context of labs where we are using CISCO routers and switches?",1,514520: To what extent do you think using ChatGPT or other LLMs improves the quality of your work in assignments and labs?,1,514521: Do you feel that using LLMs (like ChatGPT) helps you complete assignments or labs faster?,1,514522: In what ways do you think the use of LLMs has affected your ability to retain knowledge in this module?,1,"514523:  Is there anything else you would like to share about your experience using LLMs (e.g., ChatGPT) in this module?

Feel free to provide any feedback, suggestions, or reflections on how LLMs have impacted your learning and performance in this module.
",1,n correct,n incorrect,score
,75529,,"B1 (CS3xxx), L1 (CS3xxx)","123999, 124023","S_2410_CS3xxx_B1, S_2410_CS3xxx_L1",2024-11-21 13:19:15 UTC,1,Rarely,0,Coding,1,,0,Never,1,Never,1,Neutral,0,"Yes, I rely more on LLMs for complex topics",1,,0,It varies by topic,0,,0,I can solve the assignment independently without assistance.,1,,0,Never,1,,0,,0,Strongly Disagree,0,Neutral,0,"The LLMs codes are outdated and may not reflect the exact concept used in the lecture, so I prefer not to use them.",0,Does not improve quality,0,"Slower, as I need to verify the information",0,It has had no impact on my retention,0,,0,10,12,20
,27781,,"L1 (CS3xxx), B7 (CS3xxx)","124023, 124017","S_2410_CS3xxx_L1, S_2410_CS3xxx_B7",2024-11-21 05:27:44 UTC,1,Occasionally,0,"Understanding theoretical concepts,Reviewing explanations or answers during or after labs",0,-,0,Rarely,0,Occasionally,0,Moderately effective,0,"Yes, I rely more on LLMs for complex topics",1,-,0,It varies by topic,0,Assignment 1.,0,I can solve the assignment independently without assistance.,1,-,0,Rarely,0,I mostly use the LLM's initial idea with little modification,1,-,0,Agree,0,Disagree,0,"NIL, mostly ask generalised question not specific to our lab",0,Moderately improves quality,0,Somewhat faster,0,It has somewhat improved my retention,0,NIL,0,7,15,20
,20518,,"B6 (CS3xxx), L1 (CS3xxx)","124015, 124023","S_2410_CS3xxx_B6, S_2410_CS3xxx_L1",2024-11-20 12:40:19 UTC,1,Frequently,0,"Coding,Troubleshooting and debugging code,Understanding theoretical concepts,Starting or completing assignments,Reviewing explanations or answers during or after labs",0,NIL,0,Occasionally,0,Occasionally,0,Effective,0,"Yes, I rely more on LLMs for complex topics",1,N.A.,0,I often look up additional resources,0,Assignment 3. (TCP Traceroute),0,I often need LLMs for an initial approach before I can attempt to solve it myself.,0,N.A.,0,Occasionally,0,I use the LLM's response as a comparison to my own ideas.,0,N.A.,0,Strongly agree,1,Agree,0,"As a visual learner, my most effective medium for learning are videos or irl explanations. However, LLMs are unable to replicate that kind of explanation as it relies on textual answers. Its answers, albeit well-structured, still lacks in some areas to video explanations. As such, I highly rely on youtube and lecture videos for understanding.",0,Moderately improves quality,0,Somewhat faster,0,It has somewhat improved my retention,0,LLMs have definitely been a game-changer in aiding understanding.,0,6,16,20
,13301,,"B12 (CS3xxx), L1 (CS3xxx)","124005, 124023","S_2410_CS3xxx_B12, S_2410_CS3xxx_L1",2024-11-20 11:03:08 UTC,1,Occasionally,0,"Coding,Understanding theoretical concepts,Starting or completing assignments,Reviewing explanations or answers during or after labs",0,,0,Frequently,0,Rarely,0,Extremely effective,0,"No, reliance is about the same",0,,0,ChatGPT/LLM answers are usually sufficient,1,,0,I rely heavily on LLMs to guide my understanding and problem-solving.,0,,0,Occasionally,0,I use the idea as a starting point but build upon it independently,0,,0,Strongly agree,1,Strongly disagree,1,,0,It depends on the task,0,No difference in time,0,It has significantly improved my retention of knowledge,1,,0,8,14,20
,80363,,"L1 (CS3xxx), B4 (CS3xxx)","124023, 124011","S_2410_CS3xxx_L1, S_2410_CS3xxx_B4",2024-11-20 09:46:06 UTC,1,Occasionally,0,"Coding,Troubleshooting and debugging code,Understanding theoretical concepts,Starting or completing assignments,Reviewing explanations or answers during or after labs",0,NIL,0,Occasionally,0,Occasionally,0,Extremely effective,0,"Yes, I rely more on LLMs for complex topics",1,NIL,0,ChatGPT/LLM answers are usually sufficient,1,"None in particular, evenly distributed",0,I often need LLMs for an initial approach before I can attempt to solve it myself.,0,,0,Rarely,0,I use the LLM's response as a comparison to my own ideas.,0,,0,Agree,0,Disagree,0,"For complex topics, LLMs serve more as a conversational tool and quick response to my questions, allowing me to avoid googling and reading through long paragraphs to find what i need.",0,Moderately improves quality,0,Somewhat faster,0,It has significantly improved my retention of knowledge,1,,0,7,15,20
,127619,,"L1 (CS3xxx), B7 (CS3xxx)","124023, 124017","S_2410_CS3xxx_L1, S_2410_CS3xxx_B7",2024-11-20 09:26:08 UTC,1,Frequently,0,"Coding,Troubleshooting and debugging code,Understanding theoretical concepts,Reviewing explanations or answers during or after labs",0,,0,Occasionally,0,Rarely,0,Effective,0,"Yes, I rely more on LLMs for complex topics",1,,0,It varies by topic,0,,0,I rely heavily on LLMs to guide my understanding and problem-solving.,0,,0,Occasionally,0,I use the idea as a starting point but build upon it independently,0,,0,Neutral,0,Neutral,0,,0,Slightly improves quality,0,Significantly faster,1,It has significantly improved my retention of knowledge,1,,0,7,15,20
,7048,,"L1 (CS3xxx), B7 (CS3xxx)","124023, 124017","S_2410_CS3xxx_L1, S_2410_CS3xxx_B7",2024-11-20 09:11:29 UTC,1,Frequently,0,"Understanding theoretical concepts,Starting or completing assignments,Reviewing explanations or answers during or after labs",0,,0,Always,0,Occasionally,0,Extremely effective,0,"No, reliance is about the same",0,,0,ChatGPT/LLM answers are usually sufficient,1,Assignment 3,0,Other (please specify in the next question),0,I usually use LLM to get a basic example so I can understand the syntax,0,Frequently,0,I use the LLM's response as a comparison to my own ideas.,0,,0,Strongly agree,1,Neutral,0,Sometimes the answers would not be accurate or the format would not be what I expect,0,Moderately improves quality,0,Somewhat faster,0,It has somewhat improved my retention,0,,0,6,16,20
,16238,,"L1 (CS3xxx), B9 (CS3xxx)","124023, 124022","S_2410_CS3xxx_L1, S_2410_CS3xxx_B9",2024-11-20 02:44:42 UTC,1,Occasionally,0,"Coding,Understanding theoretical concepts",0,-,0,Occasionally,0,Rarely,0,Moderately effective,0,"Yes, I rely more for basic topics",0,-,0,I often look up additional resources,0,Concepts I am confused about.,0,I often need LLMs for an initial approach before I can attempt to solve it myself.,0,-,0,Occasionally,0,I use the idea as a starting point but build upon it independently,0,-,0,Agree,0,Neutral,0,"The set up is specific to labs, and if using LLMs, will need to be provided for any insightful information.",0,Slightly improves quality,0,Somewhat faster,0,It has somewhat improved my retention,0,-,0,4,18,20
,42680,,"L1 (CS3xxx), B6 (CS3xxx)","124023, 124015","S_2410_CS3xxx_L1, S_2410_CS3xxx_B6",2024-11-19 14:39:17 UTC,1,Occasionally,0,"Troubleshooting and debugging code,Understanding theoretical concepts",0,,0,Occasionally,0,Never,1,Moderately effective,0,"Yes, I rely more on LLMs for complex topics",1,,0,I often look up additional resources,0,assignment3,0,I often need LLMs for an initial approach before I can attempt to solve it myself.,0,,0,Frequently,0,I use the idea as a starting point but build upon it independently,0,,0,Agree,0,Neutral,0,,0,It depends on the task,0,Somewhat faster,0,It has somewhat improved my retention,0,,0,6,16,20
,76507,,"B9 (CS3xxx), L1 (CS3xxx)","124022, 124023","S_2410_CS3xxx_B9, S_2410_CS3xxx_L1",2024-11-19 14:26:27 UTC,1,Occasionally,0,"Troubleshooting and debugging code,Understanding theoretical concepts",0,,0,Never,1,Occasionally,0,Effective,0,"No, reliance is about the same",0,,0,ChatGPT/LLM answers are usually sufficient,1,,0,I can solve the assignment independently without assistance.,1,,0,Rarely,0,I use the idea as a starting point but build upon it independently,0,,0,Agree,0,Strongly disagree,1,,0,Slightly improves quality,0,Somewhat faster,0,It has had no impact on my retention,0,,0,8,14,20
,4230,,"B9 (CS3xxx), L1 (CS3xxx)","124022, 124023","S_2410_CS3xxx_B9, S_2410_CS3xxx_L1",2024-11-19 09:33:04 UTC,1,Occasionally,0,"Coding,Understanding theoretical concepts,Starting or completing assignments",0,,0,Occasionally,0,Occasionally,0,Moderately effective,0,"No, reliance is about the same",0,,0,ChatGPT/LLM answers are usually sufficient,1,Assignment 4 boilerplate code.,0,I can solve the assignment independently without assistance.,1,,0,Occasionally,0,I use the idea as a starting point but build upon it independently,0,,0,Agree,0,Strongly disagree,1,,0,Moderately improves quality,0,Significantly faster,1,It has had no impact on my retention,0,,0,8,14,20
,8043,,"B1 (CS3xxx), L1 (CS3xxx)","123999, 124023","S_2410_CS3xxx_B1, S_2410_CS3xxx_L1",2024-11-19 04:34:49 UTC,1,Frequently,0,"Troubleshooting and debugging code,Understanding theoretical concepts,Reviewing explanations or answers during or after labs",0,,0,Occasionally,0,Occasionally,0,Effective,0,"Yes, I rely more on LLMs for complex topics",1,,0,ChatGPT/LLM answers are usually sufficient,1,Assignment 4 when encountering some unknown errors implementing the client and the server.,0,I often need LLMs for an initial approach before I can attempt to solve it myself.,0,,0,Occasionally,0,I use the LLM's response as a comparison to my own ideas.,0,,0,Agree,0,Neutral,0,Not really,0,Slightly improves quality,0,Somewhat faster,0,It has significantly improved my retention of knowledge,1,"I can copy and paste the caption of the lecture videos into ChatGPT, which can then generate the lecture notes for revision in the future. ",0,7,15,20
,78246,,"L1 (CS3xxx), B4 (CS3xxx)","124023, 124011","S_2410_CS3xxx_L1, S_2410_CS3xxx_B4",2024-11-18 15:04:49 UTC,1,Occasionally,0,Understanding theoretical concepts,0,,0,Rarely,0,,0,Slightly effective,0,"Yes, I rely more for basic topics",0,,0,I often look up additional resources,0,,0,I can solve the assignment independently without assistance.,1,,0,Never,1,I use the LLM's response as a comparison to my own ideas.,0,,0,Agree,0,Agree,0,,0,Moderately improves quality,0,Somewhat faster,0,It has somewhat improved my retention,0,,0,6,16,20
,33530,,"L1 (CS3xxx), B11 (CS3xxx)","124023, 124003","S_2410_CS3xxx_L1, S_2410_CS3xxx_B11",2024-11-18 08:02:48 UTC,1,Frequently,0,"Coding,Troubleshooting and debugging code,Understanding theoretical concepts,Starting or completing assignments",0,,0,Always,0,Rarely,0,Extremely effective,0,"Yes, I rely more on LLMs for complex topics",1,,0,ChatGPT/LLM answers are usually sufficient,1,Assignment 3b ,0,I rely heavily on LLMs to guide my understanding and problem-solving.,0,,0,Frequently,0,I use the idea as a starting point but build upon it independently,0,,0,Strongly agree,1,Agree,0,,0,Significantly improves quality,1,Significantly faster,1,It has significantly improved my retention of knowledge,1,,0,10,12,20
,7304,,"L1 (CS3xxx), B8 (CS3xxx)","124023, 124019","S_2410_CS3xxx_L1, S_2410_CS3xxx_B8",2024-11-18 06:42:28 UTC,1,Occasionally,0,"Coding,Troubleshooting and debugging code",0,,0,Occasionally,0,Never,1,Not effective at all,1,"No, reliance is about the same",0,,0,It varies by topic,0,3 coding assignemtns,0,I can solve the assignment independently without assistance.,1,,0,Rarely,0,I use the idea as a starting point but build upon it independently,0,,0,Disagree,0,Disagree,0,"didn't use in labs, but for using llms to understand concepts in assignment 2, it was much simpler to just search the web and use premade content from there. It was much more concise, and didn't need as much prompting and double checking to get useful information.",0,Does not improve quality,0,Somewhat faster,0,It has had no impact on my retention,0,,0,7,15,20
,21646,,"B2 (CS3xxx), L1 (CS3xxx)","124007, 124023","S_2410_CS3xxx_B2, S_2410_CS3xxx_L1",2024-11-18 06:29:33 UTC,1,Frequently,0,"Coding,Troubleshooting and debugging code,Understanding theoretical concepts,Starting or completing assignments,Reviewing explanations or answers during or after labs",0,NA,0,Frequently,0,Rarely,0,Effective,0,"No, reliance is about the same",0,NA,0,I often look up additional resources,0,Assignment 4 coding,0,I often need LLMs for an initial approach before I can attempt to solve it myself.,0,NA,0,Frequently,0,I use the LLM's response as a comparison to my own ideas.,0,na,0,Strongly agree,1,Agree,0,the accuracy of the answers given,0,It depends on the task,0,Significantly faster,1,It has somewhat improved my retention,0,nA,0,6,16,20
,80864,,"B5 (CS3xxx), L1 (CS3xxx)","124013, 124023","S_2410_CS3xxx_B5, S_2410_CS3xxx_L1",2024-11-18 05:47:46 UTC,1,Occasionally,0,"Troubleshooting and debugging code,Understanding theoretical concepts,Reviewing explanations or answers during or after labs",0,,0,Occasionally,0,Rarely,0,Effective,0,"Yes, I rely more on LLMs for complex topics",1,,0,It varies by topic,0,For troubleshooting raw socket programming and packet handling.,0,Other (please specify in the next question),0,Use it as a partner which gives feedback on my approach without explicitly asking for the answer when i get stuck,0,Rarely,0,I use the LLM's response as a comparison to my own ideas.,0,,0,Agree,0,Neutral,0,None,0,It depends on the task,0,Somewhat faster,0,It has somewhat improved my retention,0,LLMs are a good way to learn any topic though you might have to double check by looking up additional resources as they can sometimes confidently give the wrong information.,0,5,17,20
,87095,,"L1 (CS3xxx), B1 (CS3xxx)","124023, 123999","S_2410_CS3xxx_L1, S_2410_CS3xxx_B1",2024-11-18 03:59:34 UTC,1,Frequently,0,"Understanding theoretical concepts,Reviewing explanations or answers during or after labs",0,i did this thing where i uploaded the slides and asked it to give me quiz questions to test my knowledge,0,Occasionally,0,Rarely,0,Effective,0,"Yes, I rely more on LLMs for complex topics",1,-,0,It varies by topic,0,preparing for final quiz,0,Other (please specify in the next question),0,"i can solve it independently, but i do want to verify before submitting",0,Rarely,0,I use the LLM's response as a comparison to my own ideas.,0,-,0,Agree,0,Neutral,0,"we didnt really use llms for this because it was difficult to contextualise the routers. it would need us time to type out what is connected to what etc, so we asked for help from our TAs instead",0,It depends on the task,0,Somewhat faster,0,It has had no impact on my retention,0,nope,0,5,17,20
,77665,,"L1 (CS3xxx), B5 (CS3xxx)","124023, 124013","S_2410_CS3xxx_L1, S_2410_CS3xxx_B5",2024-11-17 19:43:25 UTC,1,Frequently,0,"Coding,Troubleshooting and debugging code,Understanding theoretical concepts,Starting or completing assignments,Reviewing explanations or answers during or after labs",0,,0,Occasionally,0,Occasionally,0,Effective,0,"Yes, I rely more on LLMs for complex topics",1,,0,I often look up additional resources,0,,0,I often need LLMs for an initial approach before I can attempt to solve it myself.,0,,0,Frequently,0,I use the idea as a starting point but build upon it independently,0,,0,Agree,0,Disagree,0,-,0,Moderately improves quality,0,Somewhat faster,0,It has significantly improved my retention of knowledge,1,-,0,6,16,20
,187394,,"L1 (CS3xxx), B7 (CS3xxx)","124023, 124017","S_2410_CS3xxx_L1, S_2410_CS3xxx_B7",2024-11-17 17:42:25 UTC,1,Rarely,0,Understanding theoretical concepts,0,NA,0,Never,1,Rarely,0,Neutral,0,"No, reliance is about the same",0,NA,0,I often look up additional resources,0,Assignment 2,0,I can solve the assignment independently without assistance.,1,NA,0,Never,1,I use the idea as a starting point but build upon it independently,0,NA,0,Neutral,0,Neutral,0,Risk of inaccurate information,0,I do not use LLMs,0,I do not use LLMs,0,It has had no impact on my retention,0,.,0,7,15,20
,20928,,"L1 (CS3xxx), B12 (CS3xxx)","124023, 124005","S_2410_CS3xxx_L1, S_2410_CS3xxx_B12",2024-11-17 15:10:11 UTC,1,Frequently,0,"Coding,Troubleshooting and debugging code,Understanding theoretical concepts,Starting or completing assignments,Reviewing explanations or answers during or after labs,Others (please specify in the next question)",0,"explanation of specific libraries, explanation on application of certain concepts eg when to use vlan vs not to",0,Frequently,0,Always,0,Extremely effective,0,"Yes, I rely more for basic topics",0,,0,I often look up additional resources,0,TCP-based traceroot,0,Other (please specify in the next question),0,"it abstracts away the need to manually code out “filler”/“helper” code, so I can focus implementing the main concepts",0,Frequently,0,I use the LLM's response as a comparison to my own ideas.,0,,0,Strongly agree,1,Agree,0,nil,0,Moderately improves quality,0,Significantly faster,1,It has had no impact on my retention,0,,0,6,16,20
,14994,,"L1 (CS3xxx), B11 (CS3xxx)","124023, 124003","S_2410_CS3xxx_L1, S_2410_CS3xxx_B11",2024-11-17 13:30:23 UTC,1,Frequently,0,"Troubleshooting and debugging code,Understanding theoretical concepts",0,N/A,0,Frequently,0,Rarely,0,Effective,0,"Yes, I rely more on LLMs for complex topics",1,N/A,0,It varies by topic,0,Assignment 3 Part 2 debugging,0,I rely heavily on LLMs to guide my understanding and problem-solving.,0,N/A,0,Rarely,0,Other (please specify in the next question).,0,I try come up with initial idea first,0,Strongly agree,1,Strongly disagree,1,Hallucinating information.,0,Significantly improves quality,1,Significantly faster,1,It has significantly improved my retention of knowledge,1,ChatGPT is a good place for me to clarify information that are not provided in the slides. Though seems that other LLMs such as Gemini would be helpful to provide credible sources.,0,10,12,20
,80027,,"L1 (CS3xxx), B9 (CS3xxx)","124023, 124022","S_2410_CS3xxx_L1, S_2410_CS3xxx_B9",2024-11-17 06:52:01 UTC,1,Occasionally,0,"Coding,Troubleshooting and debugging code,Understanding theoretical concepts",0,,0,Rarely,0,Never,1,Moderately effective,0,"Yes, I rely more on LLMs for complex topics",1,,0,It varies by topic,0,"Assignment 4, as it is the first time I'm making an app(?) or a program with many functions. I have not learnt how to do some things like UI before, so LLMs helped me out in understanding how the different functions work.",0,I often need LLMs for an initial approach before I can attempt to solve it myself.,0,,0,Rarely,0,I use the idea as a starting point but build upon it independently,0,,0,Agree,0,Neutral,0,"In the context of labs, i dont use LLMs as I'm familiar with CISCO routers & switches and the commands for them",0,Slightly improves quality,0,Somewhat faster,0,It has had no impact on my retention,0,,0,6,16,20
,18472,,"B12 (CS3xxx), L1 (CS3xxx)","124005, 124023","S_2410_CS3xxx_B12, S_2410_CS3xxx_L1",2024-11-17 03:53:10 UTC,1,Rarely,0,Reviewing explanations or answers during or after labs,0,NA,0,Rarely,0,Rarely,0,Moderately effective,0,"Yes, I rely more on LLMs for complex topics",1,NA,0,It varies by topic,0,"NA, used more to understand concepts in lab",0,I can solve the assignment independently without assistance.,1,NA,0,Rarely,0,Other (please specify in the next question).,0,"I realised that the LLM's initial idea may be flawed, so I get inspiration from there to come up with a separate idea",0,Agree,0,Neutral,0,NA,0,Slightly improves quality,0,Somewhat faster,0,It has somewhat improved my retention,0,"Using LLMs, sometimes the complex concepts are reiterated in simpler ways within the answer and explanation. 

Due to the way that I phrase the questions, LLMs make searching and understanding new information easier",0,6,16,20
